
1	ATVI	2495
2	ADBE	2495
3	AKAM	2495
4	ALXN	2495
5	ALTR	2495
6	AMZN	2495
7	AMGN	2495
8	ADI	2495
9	AAPL	2495
10	AMAT	2495
11	ADSK	2495
12	ADP	2495
13	AVGO	1040
14	BIDU	2047
15	BBBY	2495
16	BIIB	2495
17	BRCM	2495
18	CHRW	2495
19	CA	2495
20	CTRX	1833
21	CELG	2495
22	CERN	2495
23	CHTR	936
24	CHKP	2495
25	CSCO	2495
26	CTXS	2495
27	CTSH	2495
28	CMCSA	2495
29	COST	2495
30	XRAY	2495
31	DTV	2454
32	DELL	2495
33	DISCA	2067
34	DLTR	2495
35	EQIX	2495
36	EXPE	2058
37	EXPD	2495
38	ESRX	2495
39	FFIV	2495
40	FOSL	2495
41	FB	338
42	FAST	2495
43	FISV	2495
44	GRMN	2495
45	GILD	2495
46	GOOG	2290
47	GMCR	2495
48	HSIC	2495
49	INTC	2495
50	INTU	2495
51	ISRG	2495
52	KLAC	2495
53	KRFT	255
54	LBTYA	2343
55	LMCA	177
56	LINTA	1856
57	LLTC	2495
58	MAT	2495
59	MXIM	2495
60	MCHP	2495
61	MU	2495
62	MSFT	2495
63	MDLZ	2495
64	MNST	2495
65	MYL	2495
66	NVDA	2495
67	NTAP	2495
68	NFLX	2495
69	NUAN	2495
70	ORLY	2495
71	PCAR	2495
72	PAYX	2495
73	QCOM	2495
74	GOLD	2495
75	REGN	2495
76	ROST	2495
77	SBAC	2495
78	SNDK	2495
79	STX	2495
80	SHLD	2495
81	SIAL	2495
82	SIRI	2495
83	SPLS	2495
84	SBUX	2495
85	SRCL	2495
86	SYMC	2495
87	TSLA	815
88	TXN	2495
89	FOXA	2495
90	VRSK	997
91	VRTX	2495
92	VIAB	1963
93	VOD	2495
94	WDC	2495
95	WFM	2495
96	WYNN	2495
97	XLNX	2495
98	YHOO	2495
99	EBAY	2495
100	PCLN	2495
